job_title,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,job_description_length,benefits_score,company_name,required_skill_1,required_skill_2,required_skill_3,required_skill_4,required_skill_5,salary (k)
Data Scientist,Mid,Full-time,Germany,Medium,Germany,Hybrid,Bachelor,4,Finance,1452,7.8,Smart Analytics,Python,Tableau,Docker,Spark,Hadoop,95.23
Head of AI,Executive,Full-time,United States,Large,United States,Hybrid,PhD,12,Healthcare,1890,8.5,DeepTech Ventures,AWS,Kubernetes,MLOps,PyTorch,Docker,210.45
Machine Learning Engineer,Entry,Contract,Singapore,Small,Singapore,No remote,Associate,1,Manufacturing,1105,6.2,Cloud AI Solutions,Linux,Scala,Git,Statistics,,55.8
Deep Learning Engineer,Senior,Part-time,Switzerland,Medium,Switzerland,Fully remote,Master,8,Technology,720,9.1,AI Innovations,PyTorch,TensorFlow,Linux,GCP,,135.6
AI Research Scientist,Entry,Freelance,France,Small,France,Hybrid,Bachelor,0,Gaming,980,7.0,DataVision Ltd,R,Docker,SQL,Deep Learning,Java,48.15
Principal Data Scientist,Executive,Full-time,Denmark,Large,Denmark,No remote,Master,15,Energy,1600,6.8,Future Systems,GCP,Spark,Tableau,NLP,,280.3
ML Ops Engineer,Senior,Contract,United Kingdom,Medium,United Kingdom,Hybrid,PhD,6,Consulting,2100,8.0,Machine Intelligence Group,Scala,Data Visualization,Hadoop,Azure,Python,110.75
Computer Vision Engineer,Mid,Part-time,Sweden,Large,Finland,Fully remote,Associate,3,Automotive,1350,7.3,Autonomous Tech,Docker,Git,PyTorch,Mathematics,R,88.4
AI Consultant,Executive,Freelance,Ireland,Small,Ireland,No remote,Bachelor,18,Media,840,5.9,Predictive Systems,Kubernetes,AWS,Data Visualization,SQL,,160.9
AI Specialist,Mid,Full-time,Netherlands,Medium,Netherlands,Hybrid,Master,2,Education,1700,8.8,TechCorp Inc,Java,MLOps,Deep Learning,TensorFlow,,72.0
Research Scientist,Senior,Contract,Australia,Large,Australia,Fully remote,PhD,10,Telecommunications,1950,7.5,Cognitive Computing,SQL,Python,Spark,Computer Vision,Azure,185.5
Data Analyst,Entry,Part-time,China,Small,China,No remote,Associate,0,Government,620,6.5,Digital Transformation LLC,Hadoop,PyTorch,R,Linux,,42.5
Autonomous Systems Engineer,Senior,Full-time,Canada,Medium,Canada,Hybrid,Bachelor,5,Real Estate,1530,7.9,Advanced Robotics,Git,Kubernetes,Computer Vision,Docker,Tableau,120.25
NLP Engineer,Executive,Freelance,Norway,Large,Norway,No remote,Associate,14,Transportation,1280,6.1,Quantum Computing Inc,TensorFlow,Statistics,NLP,Scala,,235.8
AI Product Manager,Senior,Contract,Israel,Small,Israel,Fully remote,Master,7,Retail,1850,8.2,Neural Networks Co,Data Visualization,R,Azure,Git,Hadoop,145.3
Robotics Engineer,Entry,Full-time,Austria,Medium,Austria,Hybrid,Bachelor,1,Energy,1420,9.0,Algorithmic Solutions,Mathematics,Java,Python,AWS,Docker,65.4
AI Architect,Senior,Part-time,South Korea,Large,South Korea,No remote,Associate,9,Finance,900,6.9,DeepTech Ventures,Deep Learning,Linux,Statistics,Kubernetes,,175.2
Machine Learning Researcher,Executive,Full-time,Japan,Medium,Japan,Hybrid,PhD,16,Manufacturing,2200,8.9,Future Systems,Spark,PyTorch,Java,MLOps,GCP,300.0
Data Engineer,Executive,Contract,India,Large,India,No remote,Master,11,Consulting,1150,7.2,DataVision Ltd,Tableau,Docker,Scala,Python,,195.65
