job_title,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,job_description_length,benefits_score,company_name,required_skill_1,required_skill_2,required_skill_3,required_skill_4,required_skill_5,salary (k)
Data Scientist,Entry,Freelance,Israel,Small,Israel,Hybrid,Bachelor,0,Technology,1487,7.2,Algorithmic Solutions,Python,SQL,NLP,Scala,,62.45
ML Ops Engineer,Mid,Part-time,Denmark,Medium,Denmark,No remote,Master,3,Finance,1245,8.0,DataVision Ltd,Docker,Kubernetes,Python,AWS,,93.12
Computer Vision Engineer,Senior,Full-time,Switzerland,Large,Switzerland,Hybrid,PhD,7,Automotive,2103,6.5,Autonomous Tech,PyTorch,Computer Vision,TensorFlow,Git,,148.76
Head of AI,Executive,Contract,United States,Medium,Germany,Fully remote,Associate,14,Energy,1025,9.1,Quantum Computing Inc,AWS,Statistics,Scala,Linux,Statistics,223.4
Robotics Engineer,Entry,Part-time,Japan,Small,Japan,No remote,Bachelor,1,Gaming,1865,7.8,Cognitive Computing,Java,PyTorch,Data Visualization,Scala,Tableau,58.21
AI Research Scientist,Senior,Freelance,Sweden,Large,Sweden,Hybrid,Master,5,Healthcare,2437,8.3,Predictive Systems,NLP,Spark,Python,Kubernetes,Git,157.33
Autonomous Systems Engineer,Mid,Full-time,France,Medium,France,Fully remote,Bachelor,2,Retail,1736,6.2,Digital Transformation LLC,GCP,TensorFlow,Data Visualization,,Deep Learning,102.75
Data Engineer,Executive,Contract,Australia,Small,Australia,No remote,Associate,10,Transportation,1203,8.9,Smart Analytics,SQL,Spark,AWS,Git,,180.5
Research Scientist,Mid,Freelance,Germany,Large,China,Hybrid,Master,4,Consulting,2119,7.4,Neural Networks Co,Scala,R,Mathematics,NLP,,96.84
AI Software Engineer,Entry,Part-time,Canada,Small,Canada,No remote,PhD,0,Media,2297,5.5,Cloud AI Solutions,Python,AWS,Computer Vision,Deep Learning,Computer Vision,55.12
Principal Data Scientist,Executive,Full-time,Norway,Large,Norway,Fully remote,Master,12,Telecommunications,1962,9.6,Advanced Robotics,TensorFlow,Git,Tableau,PyTorch,,256.78
Deep Learning Engineer,Senior,Freelance,India,Medium,India,Hybrid,Bachelor,8,Real Estate,566,8.1,Machine Intelligence Group,Linux,GCP,Docker,SQL,GCP,143.45
NLP Engineer,Senior,Contract,Austria,Small,Austria,No remote,Associate,6,Manufacturing,521,7.0,TechCorp Inc,MLOps,Java,Azure,Statistics,Kubernetes,165.22
AI Product Manager,Executive,Part-time,Sweden,Medium,United States,Fully remote,PhD,11,Government,1284,6.8,Future Systems,Hadoop,Data Visualization,Scala,R,Hadoop,194.3
Computer Vision Engineer,Senior,Frelance,Denmark,Large,Denmark,Hybrid,Bachelor,9,Education,2033,7.3,AI Innovations,Git,Java,Hadoop,Scala,GCP,161.17
Machine Learning Engineer,Mid,Freelance,Singapore,Small,Singapore,No remote,Master,3,Gaming,1184,8.7,Predictive Systems,Python,AWS,Kubernetes,Linux,Python,87.65
AI Architect,Executive,Part-time,United Kingdom,Medium,United Kingdom,Fully remote,Master,16,Finance,1808,8.0,DeepTech Ventures,Kubernetes,Git,Java,Deep Learning,Scala,271.4
AI Specialist,Entry,Full-time,South Korea,Large,South Korea,Hybrid,Associate,1,Retail,2461,9.0,Cognitive Computing,Spark,Docker,Azure,Hadoop,PyTorch,64.89
Data Analyst,Senior,Contract,Finland,Medium,Finland,No remote,Bachelor,5,Energy,803,6.9,Digital Transformation LLC,Python,AWS,Computer Vision,Deep Learning,Linux,138.52
Head of AI,Executive,Freelance,Ireland,Small,Ireland,Fully remote,PhD,10,Healthcare,2079,7.5,Smart Analytics,R,Scala,Statistics,Tableau,,210.05
Research Scientist,Mid,Freelance,Israel,Small,Sweden,Hybrid,Master,3,Energy,1500,7.2,Advanced Robotics,Python,PyTorch,NLP,Scala,GCP,97.45
ML Ops Engineer,Senior,Full-time,Denmark,Medium,Denmark,No remote,Bachelor,8,Finance,1025,8.1,Cloud AI Solutions,Kubernetes,TensorFlow,Data Visualization,Linux,,148.23
AI Specialist,Entry,Part-time,Japan,Large,Japan,Fully remote,PhD,0,Technology,2300,6.5,Quantum Computing Inc,GCP,AWS,SQL,Mathematics,,52.41
Data Engineer,Executive,Contract,Australia,Small,Australia,Hybrid,Associate,12,Gaming,800,9.0,DataVision Ltd,SQL,Deep Learning,Azure,,Tableau,209.14
Autonomous Systems Engineer,Senior,Freelance,France,Large,France,No remote,Master,5,Automotive,1750,7.8,Algorithmic Solutions,Hadoop,SQL,Statistics,Computer Vision,,156.37
Data Scientist,Entry,Part-time,Germany,Medium,Germany,Hybrid,Bachelor,1,Retail,1250,8.9,Neural Networks Co,Python,Statistics,Git,Linux,,47.88
Head of AI,Executive,Freelance,Sweden,Small,Sweden,Fully remote,Master,14,Telecommunications,900,6.2,Smart Analytics,AWS,Scala,R,SQL,Spark,223.79
Robotics Engineer,Mid,Contract,China,Large,China,No remote,Master,2,Manufacturing,2100,7.5,Predictive Systems,Spark,Data Visualization,SQL,TensorFlow,,76.13
Data Analyst,Senior,Part-time,Norway,Small,Norway,Hybrid,PhD,9,Government,650,8.3,Cognitive Computing,Git,PyTorch,Computer Vision,,Kubernetes,119.54
Deep Learning Engineer,Senior,Full-time,United States,Medium,United States,Fully remote,Bachelor,6,Consulting,1400,9.1,Digital Transformation LLC,PyTorch,Spark,Azure,GCP,,142.66
AI Architect,Executive,Freelance,Austria,Large,Austria,Hybrid,Associate,18,Media,1100,7.0,Machine Intelligence Group,TensorFlow,Java,Python,,,242.31
Machine Learning Engineer,Mid,Contract,Singapore,Small,Singapore,No remote,Master,4,Energy,1850,6.8,TechCorp Inc,MLOps,Python,Scala,Docker,,89.62
NLP Engineer,Senior,Part-time,Switzerland,Medium,Switzerland,Fully remote,Bachelor,7,Finance,500,5.5,Autonomous Tech,SQL,PyTorch,AWS,,Deep Learning,131.45
AI Research Scientist,Entry,Freelance,Ireland,Large,Ireland,Hybrid,PhD,1,Education,2200,9.8,Future Systems,Data Visualization,Kubernetes,Mathematics,,Statistics,64.27
Computer Vision Engineer,Executive,Full-time,South Korea,Small,South Korea,No remote,Associate,13,Real Estate,1300,7.6,AI Innovations,PyTorch,TensorFlow,Deep Learning,Linux,,196.78
ML Ops Engineer,Entry,Contract,India,Medium,India,Hybrid,Master,0,Healthcare,700,6.0,DeepTech Ventures,Python,Git,Docker,Linux,Azure,57.33
AI Product Manager,Executive,Part-time,United Kingdom,Large,United Kingdom,Fully remote,Bachelor,11,Transportation,1700,5.9,Cognitive Computing,Tableau,AWS,NLP,Scala,,185.42
Research Scientist,Executive,Freelance,Canada,Medium,Canada,Hybrid,PhD,10,Gaming,2400,8.4,Neural Networks Co,Java,Data Visualization,R,,Hadoop,214.51
Data Analyst,Executive,Full-time,Finland,Small,Finland,No remote,Master,19,Energy,600,8.7,Quantum Computing Inc,Spark,Docker,Azure,Hadoop,,98.15
Principal Data Scientist,Mid,Part-time,Netherlands,Medium,Netherlands,Fully remote,Master,4,Technology,1900,6.9,Smart Analytics,Python,Tableau,AWS,Mathematics,,103.87
Data Scientist,Entry,Full-time,United States,Large,United States,No remote,Master,0,Finance,1500,8.2,Advanced Robotics,Python,PyTorch,NLP,Scala,,45.3
Data Engineer,Mid,Contract,Germany,Medium,Germany,Hybrid,Bachelor,2,Technology,1800,6.5,DataVision Ltd,SQL,AWS,Azure,Linux,,62.1
ML Ops Engineer,Mid,Part-time,Israel,Small,Israel,Fully remote,Master,4,Gaming,1200,7.1,AI Innovations,Python,TensorFlow,Docker,GCP,Statistics,84.5
AI Research Scientist,Senior,Freelance,Denmark,Large,Denmark,Hybrid,PhD,6,Healthcare,900,9.0,Quantum Computing Inc,TensorFlow,Kubernetes,R,Hadoop,,128.7
Research Scientist,Senior,Full-time,Sweden,Medium,Sweden,No remote,Master,8,Energy,2200,6.8,Cognitive Computing,PyTorch,SQL,Mathematics,Computer Vision,GCP,153.2
