job_title,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,job_description_length,benefits_score,company_name,required_skill_1,required_skill_2,required_skill_3,required_skill_4,required_skill_5,salary (k)
Machine Learning Engineer,Mid,Full-time,Germany,Medium,Germany,Hybrid,Bachelor,3,Technology,1245,7.8,TechCorp Inc,Python,TensorFlow,Statistics,PyTorch,Git,65.2
Data Engineer,Senior,Contract,Canada,Large,Canada,Fully remote,Master,7,Finance,1876,8.3,Cloud AI Solutions,SQL,Kubernetes,AWS,Spark,Java,110.45
AI Specialist,Entry,Part-time,India,Small,India,No remote,Associate,1,Consulting,982,6.1,Smart Analytics,Java,Linux,Python,NaN,NaN,55.8
AI Architect,Executive,Full-time,United States,Medium,United States,Hybrid,PhD,12,Healthcare,1560,9.2,Neural Networks Co,Kubernetes,Scala,Docker,Hadoop,NLP,175.3
Data Analyst,Entry,Freelance,Australia,Small,Australia,Fully remote,Bachelor,0,Real Estate,1134,7.5,DataVision Ltd,Git,Python,Tableau,R,SQL,45.9
Deep Learning Engineer,Senior,Contract,Switzerland,Large,Switzerland,No remote,Master,9,Automotive,2098,8.9,Advanced Robotics,TensorFlow,PyTorch,Computer Vision,C++,Deep Learning,148.7
Data Scientist,Mid,Full-time,United Kingdom,Medium,United Kingdom,Hybrid,Associate,5,Retail,1345,6.7,Future Systems,Spark,Hadoop,MLOps,Scala,NaN,95.15
Head of AI,Executive,Full-time,Norway,Small,Norway,Fully remote,PhD,15,Energy,1789,9.8,Quantum Computing Inc,MLOps,Docker,AWS,Linux,Kubernetes,220.6
AI Consultant,Mid,Freelance,France,Small,France,No remote,Bachelor,2,Gaming,876,5.9,Algorithmic Solutions,R,Statistics,GCP,NaN,NaN,62.4
Computer Vision Engineer,Executive,Contract,Japan,Medium,Japan,Hybrid,Master,10,Manufacturing,1456,7.1,Machine Intelligence Group,PyTorch,Computer Vision,OpenCV,Python,MATLAB,160.25
NLP Engineer,Mid,Part-time,Israel,Large,Israel,Fully remote,PhD,4,Technology,1678,8.0,AI Innovations,NLP,Transformers,Python,SQL,NaN,78.95
ML Ops Engineer,Senior,Full-time,Netherlands,Medium,Netherlands,No remote,Associate,8,Telecommunications,1923,7.6,Digital Transformation LLC,Linux,Azure,Terraform,Docker,Git,135.5
Data Analyst,Entry,Full-time,Sweden,Small,Sweden,Hybrid,Master,0,Government,1023,7.0,Predictive Systems,Data Visualization,Tableau,SQL,NaN,NaN,52.3
AI Product Manager,Executive,Freelance,Singapore,Large,Singapore,Fully remote,Bachelor,14,Media,2134,8.5,Autonomous Tech,Scala,Spark,Agile,Jira,Kafka,195.8
AI Software Engineer,Senior,Contract,Ireland,Small,Ireland,Hybrid,Master,6,Education,1356,6.3,DeepTech Ventures,AWS,GCP,Docker,Kubernetes,NaN,105.7
Research Scientist,Executive,Full-time,Denmark,Medium,Denmark,No remote,PhD,11,Finance,1654,9.5,Cognitive Computing,Mathematics,Statistics,Python,Julia,R,185.4
Autonomous Systems Engineer,Entry,Part-time,Finland,Medium,Finland,Fully remote,Associate,2,Transportation,1122,5.5,Future Systems,Docker,Kubernetes,ROS,NaN,NaN,58.6
Head of AI,Executive,Full-time,United States,Large,United States,Hybrid,Master,17,Technology,2340,9.0,DeepTech Ventures,PyTorch,TensorFlow,C++,Python,CUDA,280.75
Data Engineer,Mid,Freelance,China,Small,China,No remote,Bachelor,3,Consulting,974,6.8,Smart Analytics,Hadoop,Spark,SQL,NaN,NaN,72.8
