job_title,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,job_description_length,benefits_score,company_name,required_skill_1,required_skill_2,required_skill_3,required_skill_4,required_skill_5,salary (k)
Data Scientist,Mid,Full-time,Germany,Medium,Germany,Hybrid,Bachelor,2,Finance,945,8.2,Cognitive Computing,Python,SQL,Statistics,Tableau,Docker,89.45
Machine Learning Engineer,Senior,Contract,Canada,Large,Canada,Fully remote,Master,8,Technology,1780,7.5,TechCorp Inc,TensorFlow,PyTorch,AWS,Docker,nan,145.3
Data Analyst,Entry,Freelance,India,Small,India,Fully remote,Associate,0,Retail,650,6.0,DataVision Ltd,SQL,Excel,Python,Data Visualization,nan,45.2
Head of AI,Executive,Full-time,United States,Large,United States,Hybrid,PhD,15,Healthcare,2100,9.5,Neural Networks Co,Deep Learning,Python,TensorFlow,MLOps,Kubernetes,280.5
AI Software Engineer,Mid,Part-time,United Kingdom,Small,United Kingdom,No remote,Bachelor,4,Gaming,1300,7.8,Autonomous Tech,Java,AWS,Linux,Git,Spark,95.6
Principal Data Scientist,Senior,Contract,Switzerland,Medium,Switzerland,Fully remote,Master,10,Finance,1550,8.9,Algorithmic Solutions,R,Hadoop,Scala,NLP,nan,185.75
Research Scientist,Entry,Full-time,Japan,Large,Japan,No remote,PhD,1,Automotive,820,9.0,Advanced Robotics,PyTorch,Computer Vision,C++,Linux,nan,78.9
ML Ops Engineer,Senior,Freelance,Netherlands,Small,Netherlands,Hybrid,Associate,6,Telecommunications,1900,6.5,Cloud AI Solutions,Docker,Kubernetes,AWS,Python,Git,115.3
AI Consultant,Mid,Contract,Singapore,Medium,Singapore,Fully remote,Master,3,Energy,1120,7.2,Future Systems,Azure,SQL,Data Visualization,GCP,Tableau,105.8
Computer Vision Engineer,Executive,Part-time,South Korea,Large,South Korea,Hybrid,Master,14,Manufacturing,1830,8.1,Machine Intelligence Group,OpenCV,TensorFlow,Python,Deep Learning,nan,165.4
Deep Learning Engineer,Senior,Full-time,Sweden,Medium,Sweden,Fully remote,PhD,5,Media,1400,9.3,DeepTech Ventures,PyTorch,NLP,GCP,Mathematics,nan,125.6
Autonomous Systems Engineer,Entry,Freelance,Israel,Small,Israel,No remote,Bachelor,0,Transportation,750,5.5,Quantum Computing Inc,ROS,C++,Linux,Python,Data Visualization,55.2
AI Architect,Executive,Full-time,China,Large,China,Hybrid,PhD,11,Government,1650,8.7,Digital Transformation LLC,Spark,Kubernetes,Azure,Scala,nan,195.0
NLP Engineer,Senior,Contract,France,Medium,France,Fully remote,Master,7,Consulting,1600,7.0,AI Innovations,Transformers,Python,PyTorch,NLP,nan,110.4
Data Engineer,Mid,Part-time,Australia,Large,Australia,Hybrid,Associate,2,Education,1050,6.8,Predictive Systems,SQL,Spark,Airflow,AWS,Hadoop,82.15
AI Product Manager,Executive,Freelance,Norway,Small,Norway,No remote,Bachelor,16,Real Estate,1980,9.8,Smart Analytics,Agile,Python,Data Analysis,SQL,nan,220.7
AI Specialist,Entry,Contract,Denmark,Medium,Denmark,Fully remote,Bachelor,1,Technology,900,7.4,Machine Intelligence Group,API,Docker,Python,Git,nan,68.5
Machine Learning Researcher,Senior,Full-time,Austria,Small,Austria,Hybrid,PhD,9,Retail,1450,8.0,DataVision Ltd,Statistics,R,Mathematics,Hadoop,PyTorch,135.8
AI Research Scientist,Mid,Freelance,Ireland,Small,Ireland,Fully remote,PhD,3,Media,1250,6.9,DeepTech Ventures,Reinforcement Learning,TensorFlow,Python,GCP,nan,99.3
Robotics Engineer,Executive,Part-time,Finland,Medium,Finland,No remote,Master,12,Manufacturing,1750,7.8,Advanced Robotics,ROS,C++,Python,Computer Vision,nan,175.9
AI Research Scientist,Mid,Full-time,Germany,Medium,Germany,Hybrid,PhD,3,Healthcare,1450,8.2,Cognitive Computing,Python,TensorFlow,PyTorch,Deep Learning,Azure,95.5
ML Ops Engineer,Senior,Contract,United States,Large,United States,Fully remote,Master,10,Technology,1800,9.1,Cloud AI Solutions,Docker,Kubernetes,AWS,Git,Spark,175.2
Data Analyst,Entry,Part-time,Canada,Small,Canada,Hybrid,Bachelor,0,Finance,600,7.5,Smart Analytics,SQL,Python,Tableau,Statistics,Data Visualization,55.3
Computer Vision Engineer,Senior,Freelance,United Kingdom,Medium,United Kingdom,No remote,PhD,6,Automotive,1600,6.8,Autonomous Tech,Deep Learning,TensorFlow,OpenCV,Python,PyTorch,145.75
Head of AI,Executive,Full-time,Switzerland,Large,Switzerland,Hybrid,Master,15,Finance,2200,9.5,Neural Networks Co,Python,AWS,Kubernetes,MLOps,Docker,280.0
Data Engineer,Mid,Contract,Singapore,Medium,Singapore,Fully remote,Associate,2,Retail,1100,7.0,DataVision Ltd,Spark,Hadoop,SQL,Python,Linux,82.4
Machine Learning Engineer,Senior,Part-time,Japan,Small,Japan,Hybrid,Bachelor,8,Gaming,1950,8.8,AI Innovations,TensorFlow,PyTorch,C++,Python,Git,130.15
Research Scientist,Entry,Freelance,France,Large,France,Fully remote,PhD,1,Energy,900,6.5,Advanced Robotics,Mathematics,Statistics,Python,NLP,R,68.9
Principal Data Scientist,Executive,Full-time,Sweden,Medium,Sweden,No remote,Master,12,Telecommunications,2100,8.5,TechCorp Inc,Python,SQL,AWS,Data Visualization,TensorFlow,210.6
AI Specialist,Mid,Contract,India,Small,India,Hybrid,Associate,4,Manufacturing,1350,7.8,Machine Intelligence Group,Java,Scala,Linux,Docker,Computer Vision,75.25
AI Architect,Executive,Part-time,Norway,Large,Norway,Fully remote,PhD,18,Consulting,2500,9.0,Future Systems,Kubernetes,Azure,GCP,Python,Spark,250.3
NLP Engineer,Senior,Freelance,Australia,Medium,Australia,Fully remote,Master,5,Media,1700,8.1,Algorithmic Solutions,NLP,Python,Transformers,PyTorch,Azure,142.8
Machine Learning Researcher,Entry,Full-time,Ireland,Small,Ireland,No remote,Bachelor,0,Education,750,6.0,Predictive Systems,Python,Git,Statistics,SQL,Docker,50.0
Deep Learning Engineer,Senior,Part-time,China,Large,China,Hybrid,PhD,7,Technology,1550,7.5,Quantum Computing Inc,TensorFlow,C++,CUDA,Python,PyTorch,160.45
AI Product Manager,Mid,Freelance,Denmark,Medium,Denmark,Hybrid,Master,3,Gaming,1200,9.2,DeepTech Ventures,Data Visualization,SQL,Python,AWS,Linux,105.0
Autonomous Systems Engineer,Executive,Contract,South Korea,Medium,South Korea,Fully remote,Master,14,Transportation,2300,8.3,Digital Transformation LLC,ROS,C++,Python,Computer Vision,Hadoop,195.8
AI Consultant,Mid,Full-time,Netherlands,Small,Netherlands,No remote,Bachelor,2,Government,1050,7.2,Neural Networks Co,Python,Azure,MLOps,Linux,Git,70.6
Data Scientist,Senior,Freelance,Austria,Large,Austria,Hybrid,Master,9,Real Estate,1900,9.8,Smart Analytics,R,SQL,Python,Statistics,Tableau,155.3
Robotics Engineer,Executive,Part-time,Finland,Small,Finland,Fully remote,PhD,11,Manufacturing,2000,7.9,Advanced Robotics,C++,Python,ROS,Computer Vision,GCP,185.0
AI Software Engineer,Entry,Contract,Israel,Medium,Israel,Fully remote,Associate,1,Technology,820,6.9,Cognitive Computing,Java,Python,Docker,Kubernetes,MLOps,72.15
Data Scientist,Mid,Full-time,Germany,Medium,Germany,Hybrid,Master,3,Finance,1245,8.1,Cloud AI Solutions,Python,SQL,TensorFlow,AWS,Docker,98.45
Head of AI,Executive,Full-time,United States,Large,United States,Hybrid,PhD,10,Technology,1876,9.5,Neural Networks Co,Deep Learning,PyTorch,Kubernetes,Statistics,NLP,245.3
AI Specialist,Entry,Contract,Canada,Small,Canada,Fully remote,Bachelor,0,Healthcare,750,7.0,DeepTech Ventures,R,Git,Linux,SQL,Data Visualization,55.2
Principal Data Scientist,Executive,Full-time,United Kingdom,Large,United Kingdom,No remote,Master,15,Retail,2100,8.9,TechCorp Inc,Python,Spark,MLOps,GCP,Azure,220.75
Machine Learning Engineer,Senior,Part-time,Singapore,Medium,Singapore,Fully remote,Associate,7,Telecommunications,1650,6.5,Algorithmic Solutions,Java,Docker,Mathematics,Tableau,Computer Vision,112.8
AI Consultant,Mid,Freelance,France,Small,France,Hybrid,Bachelor,2,Energy,1100,7.8,Autonomous Tech,Scala,Hadoop,Azure,NLP,PyTorch,72.34
Research Scientist,Executive,Part-time,Switzerland,Small,Switzerland,Hybrid,PhD,18,Government,1950,8.5,Machine Intelligence Group,Statistics,Python,TensorFlow,Docker,GCP,280.15
NLP Engineer,Senior,Contract,India,Large,India,Fully remote,Master,5,Media,1400,9.0,Cognitive Computing,AWS,Linux,PyTorch,Data Visualization,R,105.6
Data Engineer,Entry,Full-time,Australia,Medium,Australia,No remote,Associate,1,Transportation,900,6.0,Future Systems,SQL,Python,Git,MLOps,Spark,62.4
